Name,Posterior_Mean,Posterior_Std,HDI_2.5,HDI_97.5,Interval_Width,Week
Joanna Krupa,0.002953852679491755,0.0019186640340183886,0.0004717913782067431,0.007762215878852241,0.007290424500645498,1
Aaron Carter,0.0029156956820978034,0.0019697632064056138,0.00040304408327695865,0.008126007379474132,0.007722963296197174,1
Mya,0.0028589753698324573,0.001926676067818749,0.0004383386029720911,0.007941766736623234,0.007503428133651143,1
Kelly Osbourne,0.00284786280684186,0.0018940648473154565,0.00040777223928317437,0.0074625136653486196,0.007054741426065445,1
Kristi Yamaguchi,0.0027945208065360432,0.0018862627783031488,0.00039400181010710455,0.007387224098056769,0.0069932222879496644,1
Donny Osmond,0.0027883717188306604,0.001862916879815535,0.00038856927260843605,0.0074994132869059555,0.00711084401429752,1
Natalie Coughlin,0.00272834904942212,0.0018373936475630835,0.0003310572220908181,0.007376169598105034,0.007045112376014216,1
Louie Vito,0.0027204178937788436,0.0018386071146374615,0.0003300695512035217,0.007406909689071479,0.0070768401378679575,1
Jaleel White,0.002698956043008299,0.0018430802944319547,0.00037553082382079446,0.00728685285342636,0.0069113220296055655,1
Sadie Robertson,0.002669421006855035,0.0018034512758629557,0.0003360470872007481,0.00715460025808267,0.006818553170881922,1
Mark Dacascos,0.002660742515185765,0.001802065826809507,0.0003411593441603533,0.00716007244773158,0.0068189131035712265,1
Charlie White,0.00265549629775999,0.0018707989243388662,0.0003143997222911934,0.0075275091621450595,0.007213109439853866,1
Amber Riley,0.0026532518313841123,0.0017913156434679908,0.00038598275448017706,0.006955871266857059,0.006569888512376882,1
Helio Castroneves,0.002643299272034331,0.0018444369286303272,0.00034187429828631973,0.007175044377166236,0.006833170078879916,1
Alfonso Ribeiro,0.0026414326317739166,0.0018029202884601765,0.00031762984285397036,0.007025373725280211,0.00670774388242624,1
Gilles Marini,0.0026364651198526067,0.0018310912473133085,0.0003273984071157372,0.007047997349889927,0.00672059894277419,1
Lea Thompson,0.00262780087593641,0.0018723611276837994,0.0002935422487622718,0.007386522741148101,0.007092980492385829,1
Katherine Jenkins,0.002626192865481954,0.0017541123760122994,0.00032283074799894715,0.006837642972195957,0.00651481222419701,1
Candace Cameron Bure,0.002624594825970956,0.001809065481978753,0.0003160300305013342,0.00721365870081252,0.006897628670311186,1
Mario Lopez,0.0026228582136936154,0.0017912387943665865,0.0003471229028887685,0.007175172902601872,0.006828049999713104,1
DeMarcus Ware,0.0026209579483415825,0.0018333231128462527,0.00032647033000718795,0.007214567792256231,0.006888097462249043,1
Sabrina Bryan,0.0026179926960684563,0.0017488557602076968,0.000321621286543683,0.00698513482922151,0.0066635135426778265,1
James Hinchcliffe,0.002614764193800582,0.0018509936948296025,0.0002596536271102536,0.006997713359270604,0.00673805973216035,1
Carlos PenaVega,0.00261436995884271,0.0018137756048011895,0.0003379355899467549,0.007039420125650022,0.006701484535703267,1
Emmitt Smith,0.0026094202438998655,0.0018216285403609951,0.00034356769833686433,0.007216719267814538,0.0068731515694776734,1
Bethany Mota,0.0026082592328938205,0.0017940470823162192,0.00034453511882969585,0.007075093991407895,0.006730558872578199,1
Brandy,0.002605209289003122,0.001814745658553368,0.0003002904899909669,0.00717637827968575,0.006876087789694783,1
Zendaya,0.0026039369003948536,0.0018321727428731764,0.00031794633806609746,0.007396019446453144,0.0070780731083870466,1
"Nicole ""Snooki"" Polizzi",0.002583276228225043,0.0017912099462604118,0.0002997926692403521,0.007004747768055058,0.006704955098814706,1
Bindi Irwin,0.0025817749441092146,0.0018818589152261498,0.0002706387434601311,0.0071344739643783624,0.006863835220918231,1
Nick Carter,0.002578784995376046,0.0018467689830699834,0.00031883630761874,0.006880033082312419,0.006561196774693679,1
Danica McKellar,0.0025770507845894355,0.0018038549599017114,0.00030881506908133553,0.006995618735061551,0.006686803665980215,1
Jacoby Jones,0.002577040719348568,0.001854841395476844,0.0002999691687067404,0.007297961699567711,0.006997992530860971,1
Emmitt Smith,0.002575904766722727,0.001782094338429705,0.000315318175902993,0.006919148903501858,0.0066038307275988655,1
Mirai Nagasu,0.0025733815535526087,0.0018377022566883085,0.00030212303995379007,0.007338684308529188,0.007036561268575398,1
Brooke Burke,0.0025717868505752517,0.001739183294322587,0.0002978380071985609,0.006979692012159327,0.006681854004960766,1
Josh Norman,0.002569427574703885,0.0017357563361813462,0.00031806990916914923,0.00704378212972954,0.00672571222056039,1
Gladys Knight,0.0025682150549219494,0.0018050672839238129,0.00025313567121644894,0.007228210113823504,0.0069750744426070556,1
William Levy,0.002566429100318975,0.00183243678673232,0.0002860466633860518,0.007135477449119081,0.006849430785733029,1
Nyle DiMarco,0.0025657675371053824,0.0018484117873618683,0.00029488202052466926,0.007009476268686951,0.0067145942481622815,1
Corbin Bleu,0.002565563104485794,0.0017852277590264627,0.00032679083639896623,0.007116210259599272,0.006789419423200306,1
Jennifer Grey,0.0025654411302699974,0.0016998189311478492,0.0003485717973008116,0.006708689145947894,0.006360117348647082,1
