celebrity_name,ballroom_partner,celebrity_industry,celebrity_homestate,celebrity_homecountry/region,celebrity_age_during_season,season,results,placement,week1_judge1_score,week1_judge2_score,week1_judge3_score,week1_judge4_score,week2_judge1_score,week2_judge2_score,week2_judge3_score,week2_judge4_score,week3_judge1_score,week3_judge2_score,week3_judge3_score,week3_judge4_score,week4_judge1_score,week4_judge2_score,week4_judge3_score,week4_judge4_score,week5_judge1_score,week5_judge2_score,week5_judge3_score,week5_judge4_score,week6_judge1_score,week6_judge2_score,week6_judge3_score,week6_judge4_score,week7_judge1_score,week7_judge2_score,week7_judge3_score,week7_judge4_score,week8_judge1_score,week8_judge2_score,week8_judge3_score,week8_judge4_score,week9_judge1_score,week9_judge2_score,week9_judge3_score,week9_judge4_score,week10_judge1_score,week10_judge2_score,week10_judge3_score,week10_judge4_score,week11_judge1_score,week11_judge2_score,week11_judge3_score,week11_judge4_score,week1_judge_count,week1_total,week1_weighted_avg,week2_judge_count,week2_total,week2_weighted_avg,week3_judge_count,week3_total,week3_weighted_avg,week4_judge_count,week4_total,week4_weighted_avg,week5_judge_count,week5_total,week5_weighted_avg,week6_judge_count,week6_total,week6_weighted_avg,week7_judge_count,week7_total,week7_weighted_avg,week8_judge_count,week8_total,week8_weighted_avg,week9_judge_count,week9_total,week9_weighted_avg,week10_judge_count,week10_total,week10_weighted_avg,week11_judge_count,week11_total,week11_weighted_avg,week1_normalized,week2_normalized,week3_normalized,week4_normalized,week5_normalized,week6_normalized,week7_normalized,week8_normalized,week9_normalized,week10_normalized,week11_normalized,Regime,week1_rank,week2_rank,week3_rank,week4_rank,week5_rank,week6_rank,week7_rank,week8_rank,week9_rank,week10_rank,week11_rank,technical_rank,survival_weeks,elimination_deviation,JFG_index,week1_inferred_votes,week1_votes_std,week2_inferred_votes,week2_votes_std,week3_inferred_votes,week3_votes_std,week4_inferred_votes,week4_votes_std,week5_inferred_votes,week5_votes_std,week6_inferred_votes,week6_votes_std,week7_inferred_votes,week7_votes_std,week8_inferred_votes,week8_votes_std,week9_inferred_votes,week9_votes_std,week10_inferred_votes,week10_votes_std,week11_inferred_votes,week11_votes_std
John O'Hurley,Charlotte Jorgensen,Actor/Actress,Maine,United States,50,1,2nd Place,2,7.0,7.0,6.0,,8.0,9.0,9.0,,9.0,8.0,7.0,,7.0,8.0,6.0,,9.0,9.0,9.0,,9.0,9.0,9.0,,,,,,,,,,,,,,,,,,,,,,3,20.19856552626821,6.7328551754227375,3,26.25499907079599,8.751666356931997,3,24.22932265909649,8.076440886365496,3,21.223495817896005,7.074498605965335,3,27.257180583261842,9.08572686108728,3,27.257180583261842,9.08572686108728,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,50.49641381567053,65.63749767698998,60.57330664774122,53.05873954474001,68.14295145815461,68.14295145815461,0.0,0.0,0.0,0.0,0.0,Regime A,1.0,1.0,2.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.3636363636363635,6,-1.0,0.7407945108458194,717546.3676051991,111245.16762706243,714476.0333615754,165905.45669260345,746050.5304478446,135287.0256726931,746508.0244164846,123039.36101387243,703588.5203850644,146276.86153755925,786641.1520145619,133353.36929304834,,,,,,,,,,
Kelly Monaco,Alec Mazo,Actor/Actress,Pennsylvania,United States,29,1,1st Place,1,5.0,4.0,4.0,,5.0,6.0,6.0,,6.0,7.0,8.0,,9.0,9.0,8.0,,8.5,7.5,7.5,,8.5,9.5,9.5,,,,,,,,,,,,,,,,,,,,,,3,13.116483993915558,4.372161331305186,3,17.16927220970871,5.72309073656957,3,21.19931164633992,7.06643721544664,3,26.25571676699306,8.751905588997687,3,23.716498665184055,7.905499555061351,3,27.769286880977205,9.256428960325735,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,32.79120998478889,42.92318052427177,52.9982791158498,65.63929191748265,59.29124666296014,69.42321720244301,0.0,0.0,0.0,0.0,0.0,Regime A,6.0,5.0,4.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.1818181818181817,6,0.0,0.16272635437280886,764257.9666689907,174122.82201062294,591462.238291191,124172.73176283264,715575.7579877117,155258.3839513538,730129.2226375454,155429.02293461713,821292.9193405745,111691.35044313385,784223.800030973,170937.34764209297,,,,,,,,,,
Evander Holyfield,Edyta Sliwinska,Athlete,Alabama,United States,42,1,Eliminated Week 3,5,5.0,7.0,6.0,,5.0,4.0,5.0,,5.0,4.0,4.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,3,18.194202501336505,6.064734167112168,3,14.117947810184338,4.705982603394779,3,13.116483993915558,4.372161331305186,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,45.48550625334126,35.29486952546085,32.79120998478889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Regime A,4.0,6.0,5.0,5.0,4.0,3.0,1.0,1.0,1.0,1.0,1.0,2.909090909090909,3,-1.0,-1.0207698145018747,647370.8671863123,110957.7821383552,677289.9253629535,121889.37373946038,599779.1158953044,110391.808382279,,,,,,,,,,,,,,,,
Rachel Hunter,Jonathan Roberts,Model,,New Zealand,35,1,Eliminated Week 4,4,7.0,6.0,7.0,,8.0,8.0,8.0,,8.0,9.0,9.0,,7.0,9.0,9.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,3,20.175099050909196,6.725033016969732,3,24.228604962899418,8.076201654299807,3,26.25499907079599,8.751666356931997,3,25.252817558330143,8.417605852776715,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,50.43774762727299,60.57151240724854,65.63749767698998,63.13204389582536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Regime A,3.0,2.0,1.0,2.0,4.0,3.0,1.0,1.0,1.0,1.0,1.0,1.8181818181818181,4,-3.0,0.5269447759585711,586838.9455641579,113336.05317121331,571301.4680017907,106020.83677127576,613778.768041218,133817.44451048994,611586.5077233675,107875.40389128537,,,,,,,,,,,,,,
Joey McIntyre,Ashly DelGrosso,Singer/Rapper,Massachusetts,United States,32,1,3rd Place,3,7.0,7.0,6.0,,8.0,7.0,6.0,,7.0,7.0,8.0,,7.0,6.0,7.0,,8.5,7.0,7.0,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,3,20.19856552626821,6.7328551754227375,3,21.20074703873406,7.06691567957802,3,22.201493158805768,7.400497719601923,3,20.175099050909196,6.725033016969732,3,22.703301611235766,7.567767203745255,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,50.49641381567053,53.00186759683515,55.50373289701442,50.43774762727299,56.75825402808942,0.0,0.0,0.0,0.0,0.0,0.0,Regime A,1.0,3.0,3.0,4.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0,5,-2.0,0.05541814569804103,787798.1429485576,144326.36276918577,782785.5000333004,138174.94846294567,813119.4568217379,195426.70020895315,794423.2129149928,154887.3264724117,762880.0183456,114375.26018959761,,,,,,,,,,,,
Trista Sutter,Louis van Amstel,TV Personality,Indiana,United States,32,1,Eliminated Week 2,6,6.0,6.0,6.0,,6.0,7.0,6.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,3,18.17145372217456,6.057151240724854,3,19.19638401380236,6.398794671267453,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,45.428634305436404,47.990960034505896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Regime A,5.0,4.0,6.0,5.0,4.0,3.0,1.0,1.0,1.0,1.0,1.0,2.909090909090909,2,-2.0,-0.465113972373369,689691.3508957996,141609.12730104275,672773.2137141488,143454.57851280773,,,,,,,,,,,,,,,,,,
Tatum O'Neal,Nick Kosovich,Actor/Actress,California,United States,42,2,Eliminated Week 2,9,7.0,8.0,8.0,,5.0,6.0,6.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,,,,,,,,,3,23.226423450433565,7.742141150144522,3,17.16927220970871,5.72309073656957,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,58.066058626083915,42.92318052427177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Regime A,2.0,8.0,9.0,8.0,7.0,6.0,5.0,4.0,1.0,1.0,1.0,4.7272727272727275,2,-7.0,-0.2198613086849171,689851.3260433918,108579.43971538292,749819.227116951,133666.6714866455,,,,,,,,,,,,,,,,,,
Tia Carrere,Maksim Chmerkoskiy,Actor/Actress,Hawaii,United States,39,2,Eliminated Week 5,6,6.0,7.0,7.0,,7.0,8.0,7.0,,9.0,8.0,9.0,,9.0,8.0,8.0,,7.0,7.0,8.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,,,,,,,,,3,20.19784783007114,6.732615943357047,3,22.224959634164783,7.408319878054928,3,26.232250291634045,8.744083430544682,3,25.230786475365267,8.410262158455089,3,22.201493158805768,7.400497719601923,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,50.49461957517784,55.56239908541196,65.58062572908511,63.07696618841317,55.50373289701442,0.0,0.0,0.0,0.0,0.0,0.0,Regime A,6.0,5.0,3.0,4.0,6.0,6.0,5.0,4.0,1.0,1.0,1.0,3.8181818181818183,5,-3.0,0.11446651787914763,748697.182233298,102421.94746506495,718191.5807514479,146071.8513235152,687990.3555185241,132371.1736599763,799628.795628492,122083.09043424275,837252.8088014344,134111.93800021286,,,,,,,,,,,,
George Hamilton,Edyta Sliwinska,Actor/Actress,Tennessee,United States,66,2,Eliminated Week 6,5,7.0,5.0,6.0,,8.0,7.0,7.0,,7.0,7.0,8.0,,7.0,7.0,7.0,,8.0,8.0,8.0,,8.0,7.0,8.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,,,,,,,,,3,18.148704943012618,6.049568314337539,3,22.20221085500284,7.400736951667613,3,22.201493158805768,7.400497719601923,3,21.20002934253699,7.06667644751233,3,24.228604962899418,8.076201654299807,3,23.20367467127162,7.734558223757207,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,45.371762357531544,55.505527137507094,55.50373289701442,53.00007335634247,60.57151240724854,58.00918667817905,0.0,0.0,0.0,0.0,0.0,Regime A,8.0,6.0,6.0,6.0,4.0,4.0,5.0,4.0,1.0,1.0,1.0,4.181818181818182,6,-1.0,0.004503432525063366,648261.4760449866,100848.2588676148,636323.4088436752,115420.28855217405,700080.6640247252,153159.55543446617,720699.5989130217,120264.07378880329,685341.9556529842,135633.32962653044,738025.3066781946,135811.28894188124,,,,,,,,,,
Lisa Rinna,Louis van Amstel,Actor/Actress,California,United States,42,2,Eliminated Week 7,4,5.0,7.0,7.0,,6.0,7.0,7.0,,8.0,8.0,9.0,,9.0,9.0,8.0,,7.0,9.0,9.0,,9.0,9.0,9.0,,8.5,9.0,9.0,,0.0,0.0,0.0,,,,,,,,,,,,,,3,19.195666317605287,6.398555439201762,3,20.19784783007114,6.732615943357047,3,25.2300687791682,8.4100229263894,3,26.25571676699306,8.751905588997687,3,25.252817558330143,8.417605852776715,3,27.257180583261842,9.08572686108728,3,26.756089827028916,8.918696609009638,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,47.98916579401322,50.49461957517784,63.075171947920495,65.63929191748265,63.13204389582536,68.14295145815461,66.89022456757229,0.0,0.0,0.0,0.0,Regime A,7.0,7.0,4.0,2.0,3.0,3.0,3.0,4.0,1.0,1.0,1.0,3.272727272727273,7,-2.0,0.3462377420027131,721647.8888031052,169318.90864285638,650403.9126016917,122299.55130036175,670384.365886675,144760.63201248334,722496.3825732997,109040.89103889272,698731.9141811599,174838.11475343452,727298.83141877,102968.08829443074,824693.7758222546,143707.10631808173,,,,,,,,
Stacy Keibler,Tony Dovolani,Athlete,Maryland,United States,26,2,3rd Place,3,8.0,6.0,8.0,,9.0,10.0,10.0,,9.0,9.0,9.0,,8.0,9.0,9.0,,10.0,10.0,10.0,,10.0,10.0,10.0,,9.0,9.0,9.5,,9.3333,9.6666,9.6666,,,,,,,,,,,,,,3,22.178744379643824,7.392914793214608,3,29.283574691158417,9.761191563719473,3,27.257180583261842,9.08572686108728,3,26.25499907079599,8.751666356931997,3,30.28575620362427,10.095252067874757,3,30.28575620362427,10.095252067874757,3,27.75791249139623,9.252637497132076,3,28.942001993690567,9.647333997896856,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,55.446860949109556,73.20893672789605,68.14295145815461,65.63749767698998,75.71439050906068,75.71439050906068,69.39478122849057,72.35500498422643,0.0,0.0,0.0,Regime A,4.0,1.0,1.0,3.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.6363636363636365,8,-2.0,0.82189037549749,721573.454394212,142648.6488629794,683278.917883614,158650.68522498835,843317.0660340611,137723.62130209227,784348.4934807697,161712.6936061059,732048.8505242022,130311.38852974294,844588.6816566053,163641.64161322222,836706.2001371711,173504.79096006142,803176.9748262399,118685.30192135109,,,,,,
Jerry Rice,Anna Trebunskaya,Athlete,Mississippi,United States,43,2,2nd Place,2,7.0,7.0,7.0,,7.0,8.0,8.0,,7.0,6.0,6.0,,8.0,8.0,8.0,,7.0,8.0,8.0,,8.0,7.0,8.0,,7.0,7.0,6.5,,9.0,9.0,8.6666,,,,,,,,,,,,,,3,21.20002934253699,7.06667644751233,3,23.226423450433565,7.742141150144522,3,19.173635234640415,6.391211744880138,3,24.228604962899418,8.076201654299807,3,23.226423450433565,7.742141150144522,3,23.20367467127162,7.734558223757207,3,20.6992974344026,6.899765811467533,3,26.92329254691783,8.97443084897261,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,53.00007335634247,58.066058626083915,47.93408808660104,60.57151240724854,58.066058626083915,58.00918667817905,51.748243586006495,67.30823136729457,0.0,0.0,0.0,Regime A,5.0,4.0,7.0,5.0,5.0,4.0,4.0,3.0,1.0,1.0,1.0,3.6363636363636362,8,1.0,0.21947669626467703,595670.7659640738,131342.28548285353,656423.174352989,109311.24138830406,689453.6886459042,134492.53654131346,650280.2878278068,138550.6451799951,709527.7202139428,178298.22461019296,656994.2465348229,90574.97915484778,677599.9960858362,87516.97369227541,697489.9700266675,86531.78034490299,,,,,,
Giselle Fernandez,Jonathan Roberts,News Anchor,,Mexico,44,2,Eliminated Week 3,8,7.0,8.0,8.0,,8.0,8.0,8.0,,7.0,8.0,7.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,,,,,,,,,3,23.226423450433565,7.742141150144522,3,24.228604962899418,8.076201654299807,3,22.224959634164783,7.408319878054928,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,58.066058626083915,60.57151240724854,55.56239908541196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Regime A,2.0,3.0,5.0,8.0,7.0,6.0,5.0,4.0,1.0,1.0,1.0,3.909090909090909,3,-6.0,0.00164486295690916,546245.5735079054,97355.63714853209,571158.1420622199,127446.6348328033,610711.1011747387,96235.55941188036,,,,,,,,,,,,,,,,
Master P,Ashly DelGrosso,Singer/Rapper,Louisiana,United States,35,2,Eliminated Week 4,7,4.0,4.0,4.0,,6.0,5.0,5.0,,6.0,4.0,4.0,,4.0,2.0,2.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,,,,,,,,,3,12.114302481449709,4.038100827149903,3,16.145059614277987,5.381686538092662,3,14.118665506381411,4.706221835460471,3,8.061514265656557,2.687171421885519,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,30.28575620362427,40.362649035694965,35.296663765953525,20.153785664141395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Regime A,10.0,9.0,8.0,7.0,7.0,6.0,5.0,4.0,1.0,1.0,1.0,5.363636363636363,4,0.0,-0.9022292236374845,782066.6122043827,151515.52287763354,641122.7956173696,124730.41856393563,756815.6807351225,120153.80662837406,692585.8403897876,133549.90937760824,,,,,,,,,,,,,,
Drew Lachey,Cheryl Burke,Singer/Rapper,Ohio,United States,29,2,1st Place,1,8.0,8.0,8.0,,9.0,9.0,9.0,,9.0,9.0,9.0,,9.0,9.0,10.0,,9.0,9.0,9.0,,10.0,10.0,10.0,,9.5,9.0,9.0,,9.6666,9.6666,9.6666,,,,,,,,,,,,,,3,24.228604962899418,8.076201654299807,3,27.257180583261842,9.08572686108728,3,27.257180583261842,9.08572686108728,3,28.25864439953062,9.419548133176873,3,27.257180583261842,9.08572686108728,3,30.28575620362427,10.095252067874757,3,27.75827133949477,9.252757113164924,3,29.27602909179544,9.758676363931814,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,60.57151240724854,68.14295145815461,68.14295145815461,70.64661099882656,68.14295145815461,75.71439050906068,69.39567834873692,73.19007272948859,0.0,0.0,0.0,Regime A,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.1818181818181819,8,0.0,0.8117543996801726,795584.8738034895,123889.67417882974,816540.9835639664,129611.27871917594,865117.902145392,152654.7833235053,861539.1222225383,218825.92666582856,864946.4942522834,152741.6503563846,893760.2874338811,187282.54934468828,874394.206051327,181040.43287509703,904417.959554829,154753.02767738298,,,,,,
Kenny Mayne,Andrea Hale,Sports Broadcaster,Washington,United States,46,2,Eliminated Week 1,10,4.0,5.0,4.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,,,,,,,,,3,13.139232773077502,4.379744257692501,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,32.84808193269376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Regime A,9.0,10.0,9.0,8.0,7.0,6.0,5.0,4.0,1.0,1.0,1.0,5.545454545454546,1,-1.0,-1.197883494483773,564300.9487896202,129535.95986014188,,,,,,,,,,,,,,,,,,,,
Harry Hamlin,Ashly DelGrosso,Actor/Actress,California,United States,54,3,Eliminated Week 3,9,5.0,6.0,6.0,,7.0,7.0,7.0,,7.0,8.0,7.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,3,17.16927220970871,5.72309073656957,3,21.20002934253699,7.06667644751233,3,22.224959634164783,7.408319878054928,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,42.92318052427177,53.00007335634247,55.56239908541196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Regime B,8.0,7.0,4.0,9.0,8.0,6.0,6.0,5.0,4.0,3.0,1.0,5.545454545454546,3,-5.0,-0.36392601604796826,629601.7566509029,158502.93715201737,670082.873096288,123629.48297302256,661063.2386790462,123134.85845425364,,,,,,,,,,,,,,,,
Vivica A. Fox,Nick Kosovich,Actor/Actress,Indiana,United States,42,3,Eliminated Week 4,8,6.0,8.0,8.0,,8.0,8.0,8.0,,9.0,9.0,9.0,,8.0,8.0,8.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,3,22.22424193796771,7.408080645989237,3,24.228604962899418,8.076201654299807,3,27.257180583261842,9.08572686108728,3,24.228604962899418,8.076201654299807,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,55.56060484491928,60.57151240724854,68.14295145815461,60.57151240724854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Regime B,3.0,3.0,1.0,4.0,8.0,6.0,6.0,5.0,4.0,3.0,1.0,4.0,4,-7.0,0.23785200133811393,724986.4611501801,161386.0011712592,768998.3586096028,169932.93054233445,840481.9878078578,174713.31131460195,790671.6960901474,102198.19872954674,,,,,,,,,,,,,,
